ID,FriendlyName,FileName,Authentihash,FileHash,b64FileHash,MinimumFileVersion,MaximumFileVersion,InternalName,ProductName
ID_DENY_DIRECTIO_50,DirectIO32\2fc5f41dd013af78fc594e427f462161f61bf72403b9795133cc89d28d962722 Hash Sha1,DirectIO32.sys,01EB3760261439B8E230EBA09E9A63F5D3088C54,2FC5F41DD013AF78FC594E427F462161F61BF72403B9795133CC89D28D962722,L8X0HdATr3j8WU5Cf0YhYfYb9yQDuXlRM8yJ0o2WJyI=,,,,
ID_DENY_DIRECTIO_51,DirectIO32\2fc5f41dd013af78fc594e427f462161f61bf72403b9795133cc89d28d962722 Hash Sha256,DirectIO32.sys,BC0CBC6B88892F3EFF2B47F65CEA98D1E66E4FBC9D3423AEBA511854D5250A44,2FC5F41DD013AF78FC594E427F462161F61BF72403B9795133CC89D28D962722,L8X0HdATr3j8WU5Cf0YhYfYb9yQDuXlRM8yJ0o2WJyI=,,,,
ID_DENY_DIRECTIO_52,DirectIO32\2fc5f41dd013af78fc594e427f462161f61bf72403b9795133cc89d28d962722 Hash Page Sha1,DirectIO32.sys,E9141B742FA38ABDB1EA415D8431EE9A540CCCC8,2FC5F41DD013AF78FC594E427F462161F61BF72403B9795133CC89D28D962722,L8X0HdATr3j8WU5Cf0YhYfYb9yQDuXlRM8yJ0o2WJyI=,,,,
ID_DENY_DIRECTIO_53,DirectIO32\2fc5f41dd013af78fc594e427f462161f61bf72403b9795133cc89d28d962722 Hash Page Sha256,DirectIO32.sys,7FBBDD248A335EF984CD773BE07AD88894C8FA9FB252378EA830863BD8233AB5,2FC5F41DD013AF78FC594E427F462161F61BF72403B9795133CC89D28D962722,L8X0HdATr3j8WU5Cf0YhYfYb9yQDuXlRM8yJ0o2WJyI=,,,,
ID_DENY_DIRECTIO_54,DirectIO32\38b3eb8c86201d26353aab625cea672e60c2f66ce6f5e5eda673e8c3478bf305 Hash Sha1,DirectIO32.sys,1AD46A8E038A62E146DDB5A4FE8CA5A56C53F018,38B3EB8C86201D26353AAB625CEA672E60C2F66CE6F5E5EDA673E8C3478BF305,OLPrjIYgHSY1OqtiXOpnLmDC9mzm9eXtpnPow0eL8wU=,,,,
ID_DENY_DIRECTIO_55,DirectIO32\38b3eb8c86201d26353aab625cea672e60c2f66ce6f5e5eda673e8c3478bf305 Hash Sha256,DirectIO32.sys,542CD21B0C835B818E6B2EEA2EFE5B340FF3D554B2B7E13AF084F0817CC920FD,38B3EB8C86201D26353AAB625CEA672E60C2F66CE6F5E5EDA673E8C3478BF305,OLPrjIYgHSY1OqtiXOpnLmDC9mzm9eXtpnPow0eL8wU=,,,,
ID_DENY_DIRECTIO_56,DirectIO32\38b3eb8c86201d26353aab625cea672e60c2f66ce6f5e5eda673e8c3478bf305 Hash Page Sha1,DirectIO32.sys,7CB9C71D717C466A9AD64F61AFABAF30BFE7372D,38B3EB8C86201D26353AAB625CEA672E60C2F66CE6F5E5EDA673E8C3478BF305,OLPrjIYgHSY1OqtiXOpnLmDC9mzm9eXtpnPow0eL8wU=,,,,
ID_DENY_DIRECTIO_57,DirectIO32\38b3eb8c86201d26353aab625cea672e60c2f66ce6f5e5eda673e8c3478bf305 Hash Page Sha256,DirectIO32.sys,9683B754C9C90E54D066D8B9FD958BA0449883E77AC6DD6078F1607ED0377378,38B3EB8C86201D26353AAB625CEA672E60C2F66CE6F5E5EDA673E8C3478BF305,OLPrjIYgHSY1OqtiXOpnLmDC9mzm9eXtpnPow0eL8wU=,,,,
ID_DENY_DIRECTIO_58,DirectIO32\3f9530c94b689f39cc83377d76979d443275012e022782a600dcb5cad4cca6aa Hash Sha1,DirectIO32.sys,AE806CA05E141B71664D9C6F20CC2369EF26F996,3F9530C94B689F39CC83377D76979D443275012E022782A600DCB5CAD4CCA6AA,P5UwyUtonznMgzd9dpedRDJ1AS4CJ4KmANy1ytTMpqo=,,,,
ID_DENY_DIRECTIO_59,DirectIO32\3f9530c94b689f39cc83377d76979d443275012e022782a600dcb5cad4cca6aa Hash Sha256,DirectIO32.sys,38FA9B5B66A11FD7387012C5C4BBD414ECA8361273D57DBA1E49AA6AF23337F3,3F9530C94B689F39CC83377D76979D443275012E022782A600DCB5CAD4CCA6AA,P5UwyUtonznMgzd9dpedRDJ1AS4CJ4KmANy1ytTMpqo=,,,,
ID_DENY_DIRECTIO_5A,DirectIO32\3f9530c94b689f39cc83377d76979d443275012e022782a600dcb5cad4cca6aa Hash Page Sha1,DirectIO32.sys,C13AB8D1FEBD9E93E48E87CEA571C673DF3A10F3,3F9530C94B689F39CC83377D76979D443275012E022782A600DCB5CAD4CCA6AA,P5UwyUtonznMgzd9dpedRDJ1AS4CJ4KmANy1ytTMpqo=,,,,
ID_DENY_DIRECTIO_5B,DirectIO32\3f9530c94b689f39cc83377d76979d443275012e022782a600dcb5cad4cca6aa Hash Page Sha256,DirectIO32.sys,32394AC2E1F86BC84C9DCFB55763F8AA48DC1B1890815F2AAF924220530A1E5B,3F9530C94B689F39CC83377D76979D443275012E022782A600DCB5CAD4CCA6AA,P5UwyUtonznMgzd9dpedRDJ1AS4CJ4KmANy1ytTMpqo=,,,,
ID_DENY_DIRECTIO_5C,DirectIO32\65025741ecd0ef516da01319b42c2d96e13cb8d78de53fb7e39cd53ea6d58c75 Hash Sha1,DirectIO32.sys,6E2EA1D108B9F05F2D077ED6C254A70E2B11251D,65025741ECD0EF516DA01319B42C2D96E13CB8D78DE53FB7E39CD53EA6D58C75,ZQJXQezQ71FtoBMZtCwtluE8uNeN5T+345zVPqbVjHU=,,,,
